year_be,award_articles,scopus_articles_total,award_amount_researcher_baht,award_amount_researcher_unit_baht,award_amount_full_baht,award_researchers_count,ku_total_research_funding_baht
2551,168,492,2484000,2856600,2999816.94,100,919260031
2552,227,563,3419000,3931850,4204806.5,132,1403022959
2553,329,696,6187000,7115050,7371551,202,1253422835
2554,350,813,5309000,6105350,6902849,186,1573937766
2555,406,779,7568800,8704120,9591008.33,251,1763569515
2556,408,834,9038000,11029925,10914504,251,1828137251
2557,440,896,9358000,10761700,11322493,252,1956180644
2558,456,937,10789500,12407925,13018527.61,271,2015800074
2559,431,1005,11041500,12697725,13654096.9,254,2119748835
2560,525,1155,13380500,15387575,16066321.78,316,2346894588
2561,587,1253,14844500,17071175,18538648.6,334,1405511153
2562,669,1429,17335500,19935825,20461832.41,381,1595745313.36
2563,803,1514,15288500,17581775,18498711.87,425,1382268061.75
2564,921,1678,16712500,19219375,20268332.33,481,1513699737.07
2565,1059,1931,18871500,21702225,22933908.31,513,1052349429.01
2566,1009,1828,20879500,24011425,25429175,514,1082730901.09
